,playerID,year,score,player_seasonID,bioID,useFirst,lastName,pos,height,weight
1414,wickssi01,1971,0.0,wickssi011971,wickssi01,Sidney,Wicks,F-C,80.0,225.0
1415,wilkeja01,1974,0.0,wilkeja011974,wilkeja01,Jamaal,Wilkes,F-G,78.0,190.0
1416,wilkeja01,1975,1.0,wilkeja011975,wilkeja01,Jamaal,Wilkes,F-G,78.0,190.0
1417,wilkeja01,1976,1.0,wilkeja011976,wilkeja01,Jamaal,Wilkes,F-G,78.0,190.0
1418,wilkido01,1985,3.0,wilkido011985,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1419,wilkido01,1986,2.0,wilkido011986,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1420,wilkido01,1987,2.0,wilkido011987,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1421,wilkido01,1988,1.0,wilkido011988,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1422,wilkido01,1990,2.0,wilkido011990,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1423,wilkido01,1992,2.0,wilkido011992,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1424,wilkido01,1993,1.0,wilkido011993,wilkido01,Dominique,Wilkins,F-G,79.0,200.0
1425,willibu01,1981,0.0,willibu011981,willibu01,Buck,Williams,F-C,80.0,215.0
1426,willibu01,1982,2.0,willibu011982,willibu01,Buck,Williams,F-C,80.0,215.0
1427,willibu01,1987,1.0,willibu011987,willibu01,Buck,Williams,F-C,80.0,215.0
1428,willibu01,1989,2.0,willibu011989,willibu01,Buck,Williams,F-C,80.0,215.0
1429,willibu01,1990,2.0,willibu011990,willibu01,Buck,Williams,F-C,80.0,215.0
1430,willibu01,1991,1.0,willibu011991,willibu01,Buck,Williams,F-C,80.0,215.0
1431,willich01,1967,0.0,willich011967,willich01,Charles,Williams,G,72.0,165.0
1432,willico02,2001,0.0,willico022001,willico02,Corliss,Williamson,F,79.0,245.0
1433,willide01,2007,2.0,willide012007,willide01,Deron,Williams,G,75.0,210.0
1434,willide01,2009,2.0,willide012009,willide01,Deron,Williams,G,75.0,210.0
1435,willide02,2011,0.0,willide022011,willide02,Derrick,Williams,F,80.0,241.0
